neighborhood,price,city
Crown Heights,"$1,800 ",roomi nyc
Crown Heights,"$1,730 ",roomi nyc
Crown Heights,"$1,287 ",roomi nyc
Crown Heights,"$1,100 ",roomi nyc
Crown Heights,"$1,626 ",roomi nyc
Crown Heights,"$1,600 ",roomi nyc
Crown Heights,"$1,625 ",roomi nyc
Crown Heights,"$1,200 ",roomi nyc
Crown Heights,"$1,233 ",roomi nyc
Crown Heights,$950 ,roomi nyc
Crown Heights,"$1,950 ",roomi nyc
Crown Heights,"$1,400 ",roomi nyc
Crown Heights,"$1,850 ",roomi nyc
Crown Heights,"$1,400 ",roomi nyc
Crown Heights,"$1,000 ",roomi nyc
Crown Heights,"$1,500 ",roomi nyc
Crown Heights,"$1,200 ",roomi nyc
Crown Heights,$900 ,roomi nyc
Crown Heights,"$1,500 ",roomi nyc
Crown Heights,"$1,200 ",roomi nyc
Crown Heights,"$1,300 ",roomi nyc
Crown Heights,$900 ,roomi nyc
Crown Heights,"$1,300 ",roomi nyc
Crown Heights,$700 ,roomi nyc
Crown Heights,"$1,625 ",roomi nyc
Crown Heights,"$1,550 ",roomi nyc
Crown Heights,"$1,375 ",roomi nyc
Crown Heights,"$1,100 ",roomi nyc
Crown Heights,"$1,250 ",roomi nyc
Crown Heights,"$1,000 ",roomi nyc
Crown Heights,$830 ,roomi nyc
Crown Heights,"$1,075 ",roomi nyc
Crown Heights,"$2,000 ",roomi nyc
Crown Heights,$950 ,roomi nyc
Crown Heights,"$1,050 ",roomi nyc
Crown Heights,"$1,100 ",roomi nyc
Crown Heights,$950 ,roomi nyc
Cypress Hills,$900 ,roomi nyc
Cypress Hills,"$1,000 ",roomi nyc
Cypress Hills,$665 ,roomi nyc
Ditmars Steinway,$700 ,roomi nyc
Ditmars Steinway,"$1,571 ",roomi nyc
Ditmars Steinway,"$1,100 ",roomi nyc
Downtown Brooklyn,"$1,375 ",roomi nyc
Downtown Brooklyn,"$1,100 ",roomi nyc
Downtown Brooklyn,$875 ,roomi nyc
Downtown Brooklyn,$900 ,roomi nyc
Downtown Brooklyn,"$1,700 ",roomi nyc
Downtown Jersey City,"$1,400 ",roomi nyc
Dyker Heights,"$1,700 ",roomi nyc
East Bronx,$882 ,roomi nyc
East Bronx,$700 ,roomi nyc
East Bronx,"$1,150 ",roomi nyc
East Bronx,$750 ,roomi nyc
East Bronx,"$1,500 ",roomi nyc
East Flatbush,"$1,800 ",roomi nyc
East Flatbush,"$1,650 ",roomi nyc
East Flatbush,$950 ,roomi nyc
East Flatbush,"$1,700 ",roomi nyc
East Flatbush,"$1,250 ",roomi nyc
East Harlem,$900 ,roomi nyc
East Harlem,$750 ,roomi nyc
East Harlem,"$1,802 ",roomi nyc
East Harlem,"$1,200 ",roomi nyc
East Harlem,$900 ,roomi nyc
East Harlem,"$1,800 ",roomi nyc
East Harlem,$850 ,roomi nyc
East Village,"$1,200 ",roomi nyc
East Village,$999 ,roomi nyc
East Village,"$1,450 ",roomi nyc
East Village,"$1,300 ",roomi nyc
East Williamsburg,"$1,250 ",roomi nyc
East Williamsburg,"$1,500 ",roomi nyc
East Williamsburg,"$1,600 ",roomi nyc
East Williamsburg,"$1,174 ",roomi nyc
East Williamsburg,"$1,100 ",roomi nyc
East Williamsburg,$892 ,roomi nyc
East Williamsburg,"$1,500 ",roomi nyc
East Williamsburg,"$1,225 ",roomi nyc
East Williamsburg,"$2,100 ",roomi nyc
East Williamsburg,"$1,150 ",roomi nyc
East Williamsburg,"$1,000 ",roomi nyc
East Williamsburg,"$1,075 ",roomi nyc
East Williamsburg,"$1,266 ",roomi nyc
Far Rockaway,"$1,550 ",roomi nyc
Flatbush - Ditmas Park,$975 ,roomi nyc
Flatbush - Ditmas Park,"$1,000 ",roomi nyc
